date,benchmark
2020-11-05,25695.919921875
2020-11-06,25712.970703125
2020-11-09,26016.169921875
2020-11-10,26301.48046875
2020-11-11,26226.98046875
2020-11-12,26169.380859375
2020-11-13,26156.859375
2020-11-16,26381.669921875
2020-11-17,26415.08984375
2020-11-18,26544.2890625
2020-11-19,26356.970703125
2020-11-20,26451.5390625
2020-11-23,26486.19921875
2020-11-24,26588.19921875
2020-11-25,26669.75
2020-11-26,26819.44921875
2020-11-27,26894.6796875
2020-11-30,26341.490234375
2020-12-01,26567.6796875
2020-12-02,26532.580078125
2020-12-03,26728.5
2020-12-04,26835.919921875
2020-12-07,26506.849609375
2020-12-08,26304.560546875
2020-12-09,26502.83984375
2020-12-10,26410.58984375
2020-12-11,26505.869140625
2020-12-14,26389.51953125
2020-12-15,26207.2890625
2020-12-16,26460.2890625
2020-12-17,26678.380859375
2020-12-18,26498.599609375
2020-12-21,26306.6796875
2020-12-22,26119.25
2020-12-23,26343.099609375
2020-12-24,26386.560546875
2020-12-28,26314.630859375
2020-12-29,26568.490234375
2020-12-30,27147.109375
2020-12-31,27231.130859375
2021-01-04,27472.810546875
2021-01-05,27649.859375
2021-01-06,27692.30078125
2021-01-07,27548.51953125
2021-01-08,27878.220703125
2021-01-11,27908.220703125
2021-01-12,28276.75
2021-01-13,28235.599609375
2021-01-14,28496.859375
2021-01-15,28573.859375
2021-01-18,28862.76953125
2021-01-19,29642.279296875
2021-01-20,29962.470703125
2021-01-21,29927.759765625
2021-01-22,29447.849609375
2021-01-25,30159.009765625
2021-01-26,29391.259765625
2021-01-27,29297.529296875
2021-01-28,28550.76953125
2021-01-29,28283.7109375
2021-02-01,28892.859375
2021-02-02,29248.69921875
2021-02-03,29307.4609375
2021-02-04,29113.5
2021-02-05,29288.6796875
2021-02-08,29319.470703125
2021-02-09,29476.189453125
2021-02-10,30038.720703125
2021-02-11,30173.5703125
2021-02-16,30746.66015625
2021-02-17,31084.939453125
2021-02-18,30595.26953125
2021-02-19,30644.73046875
2021-02-22,30319.830078125
2021-02-23,30632.640625
2021-02-24,29718.240234375
2021-02-25,30074.169921875
2021-02-26,28980.2109375
2021-03-01,29452.5703125
2021-03-02,29095.859375
2021-03-03,29880.419921875
2021-03-04,29236.7890625
2021-03-05,29098.2890625
2021-03-08,28540.830078125
2021-03-09,28773.23046875
2021-03-10,28907.51953125
2021-03-11,29385.609375
2021-03-12,28739.720703125
2021-03-15,28833.759765625
2021-03-16,29027.689453125
2021-03-17,29034.119140625
2021-03-18,29405.720703125
2021-03-19,28990.939453125
2021-03-22,28885.33984375
2021-03-23,28497.380859375
